gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_parter,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
female,25,27,'Black/African American',European/Caucasian-American,0,2,1,'MA Biotechnology',7.5,17.5,20.0,22.5,12.5,20.0,11.54,13.46,19.23,19.23,19.23,17.31,9,10,10,10,10,5.0,5.0,10.0,5.0,5.0,5.0,9,7,7,9,10,10,10,5,8,8,5,7,9,10,10,9,8,0.05,5,10.0,0
male,32,25,European/Caucasian-American,'Black/African American',0,1,3,Psychology,11.54,13.46,19.23,19.23,19.23,17.31,17.24,17.24,17.24,17.24,13.79,17.24,8,10,8,8,8,7.0,6.0,5.0,5.0,5.0,5.0,6,4,4,7,5,5,5,6,8,10,1,8,9,2,4,1,8,0.02,5,6.0,1
male,24,25,European/Caucasian-American,'Latino/Hispanic American',0,9,5,Physics,15.52,17.24,17.24,17.24,17.24,15.52,20.51,5.13,23.08,12.82,17.95,20.51,7,6,3,10,10,6.0,6.0,6.0,5.0,6.0,5.0,9,3,5,7,9,10,7,3,7,5,1,5,7,8,8,6,1,0.13,3,5.0,1
female,25,24,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,9,9,biochemistry/genetics,20.0,20.0,20.0,20.0,20.0,0.0,18.0,18.0,18.0,18.0,18.0,10.0,8,9,10,9,10,3.0,10.0,9.0,7.0,8.0,5.0,3,1,5,7,3,3,6,6,9,8,9,6,8,8,8,3,1,-0.35,5,7.0,0
male,29,24,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,1,1,Mathematics,18.0,19.0,16.0,15.0,15.0,17.0,25.0,20.0,15.0,25.0,10.0,5.0,6,8,7,10,9,6.0,7.0,6.0,7.0,6.0,7.0,10,2,6,9,6,6,9,7,4,3,3,5,8,4,4,6,9,0.17,6,6.0,1
female,28,28,European/Caucasian-American,European/Caucasian-American,1,3,3,'International Relations',17.78,20.0,17.78,15.56,15.56,13.33,8.51,19.15,19.15,19.15,19.15,14.89,8,8,8,8,8,8.0,7.0,8.0,7.0,7.0,8.0,8,4,5,8,8,8,8,3,6,6,6,5,8,7,10,9,8,0.45,4,7.0,1
female,25,24,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,1,3,'SIPA-International Affairs',25.0,26.0,15.0,10.0,9.0,15.0,20.0,20.0,20.0,15.0,15.0,10.0,7,9,5,7,6,4.0,6.0,9.0,2.0,3.0,3.0,4,1,7,9,5,5,4,1,7,3,3,3,3,3,7,6,3,0.03,5,3.0,0
male,28,23,European/Caucasian-American,European/Caucasian-American,1,2,3,'General management/finance',20.0,20.0,20.0,15.0,10.0,15.0,20.0,20.0,20.0,20.0,0.0,20.0,7,10,8,9,9,6.0,7.0,7.0,8.0,7.0,5.0,8,5,6,9,7,7,4,8,8,7,7,8,8,10,10,8,2,-0.22,5,6.0,1
female,23,22,European/Caucasian-American,European/Caucasian-American,1,2,6,'Social Work',25.0,15.0,25.0,25.0,5.0,5.0,15.0,15.0,18.0,18.0,14.0,20.0,7,9,9,9,8,7.0,6.0,9.0,10.0,9.0,9.0,6,7,7,8,9,9,8,5,6,9,7,10,10,10,10,5,6,0.41,5,6.0,1
female,26,24,'Asian/Pacific Islander/Asian-American','Latino/Hispanic American',0,3,1,nutrition,30.0,10.0,20.0,20.0,10.0,10.0,16.67,16.67,16.67,16.67,16.67,16.67,6,8,6,7,6,6.0,6.0,6.0,6.0,6.0,6.0,6,8,9,6,6,6,4,2,5,6,4,7,7,8,8,9,1,0.28,6,6.0,0
male,27,26,European/Caucasian-American,European/Caucasian-American,1,8,3,'Mathematics; PhD',19.61,15.69,17.65,15.69,17.65,13.73,9.52,19.05,23.81,19.05,4.76,23.81,4,9,7,9,4,7.0,6.0,2.0,2.0,8.0,3.0,5,1,6,8,10,9,6,4,7,9,1,9,9,10,8,3,1,0.22,3,4.0,0
female,24,21,European/Caucasian-American,European/Caucasian-American,1,5,6,'Art Education',25.0,10.0,25.0,5.0,10.0,25.0,22.0,14.0,30.0,10.0,14.0,10.0,7,9,7,9,10,5.0,5.0,6.0,6.0,6.0,6.0,7,1,6,9,10,10,10,3,4,10,2,5,10,10,10,4,10,0.56,3,4.0,0
male,24,23,European/Caucasian-American,European/Caucasian-American,1,5,1,'Industrial Engineering',20.0,20.0,20.0,20.0,5.0,15.0,20.0,15.0,20.0,20.0,15.0,10.0,5,7,6,5,7,7.0,6.0,6.0,7.0,5.0,4.0,6,4,4,5,7,8,8,9,6,7,4,9,9,9,9,6,3,0.02,7,7.0,1
female,27,25,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,5,8,'Education Leadership - Public School Administration',40.0,10.0,0.0,45.0,0.0,5.0,15.0,15.0,25.0,15.0,15.0,15.0,7,10,7,9,10,8.0,8.0,8.0,8.0,7.0,2.0,10,9,7,10,10,10,10,5,4,10,7,7,5,8,10,10,3,-0.06,7,7.0,1
male,24,28,European/Caucasian-American,Other,0,5,1,'Industrial Engineering',25.0,15.0,25.0,15.0,10.0,10.0,20.0,15.0,20.0,20.0,15.0,10.0,5,7,6,5,7,6.0,6.0,7.0,5.0,5.0,2.0,6,4,4,5,7,8,8,9,6,7,4,9,9,9,9,6,3,-0.27,7,5.0,0
female,26,29,'Latino/Hispanic American','Latino/Hispanic American',1,1,3,'International Security Policy - SIPA',75.0,5.0,5.0,10.0,0.0,5.0,15.0,15.0,15.0,20.0,20.0,15.0,7,7,8,8,9,9.0,9.0,9.0,9.0,9.0,9.0,9,7,5,6,7,6,4,3,9,4,4,9,9,9,9,9,5,0.25,5,9.0,1
